鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
頭份鎮,土地,民族段91~120地號,37.42,其他,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,809047,21621,,0.0,0,,RPRNMLNKJHMFFFK58CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮田寮里20鄰華夏路61~90號,102.22,住,,,1051101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0671227,127.84,4,2,2,有,無,2700000,21120,,0.0,0,二親等買賣,RPOOMLNKJHMFFFK38CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮蟠桃里10鄰中央路545巷31~60號,181.77,住,,,1051201,土地2建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1020611,175.9,5,2,5,有,無,16000000,90961,,0.0,0,,RPXNMLQJJHMFFFK76CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮田寮里10鄰維新路1~30號,15.84,住,,,1051201,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050415,158.29,3,2,2,有,無,7000000,44223,,0.0,0,,RPTOMLKLJHMFFFK68CA
公館鄉,房地(土地+建物),苗栗縣公館鄉五谷村1~30號,31.09,住,,,1051201,土地1建物1車位0,六層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790831,156.26999999999998,4,1,2,有,無,2500000,15998,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLTJJHMFFBK58DA
大湖鄉,土地,大湖段751~780地號,7801.0,,山坡地保育區,林業用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,385,,0.0,0,,RPQNMLNJKHMFFAK08DA
公館鄉,土地,尖山段421~450地號,194.0,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,2680,,0.0,0,土地增值稅由權利人繳納之,RPPNMLQJJHMFFBK28DA
竹南鎮,土地,仁德段1~30地號,5.31,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,92925,17500,,0.0,0,向政府機關承購之案件。,RPWNMLQJJHMFFDK56DA
竹南鎮,土地,仁德段1~30地號,3.76,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65800,17500,,0.0,0,向政府機關承購之案件。,RPXNMLQJJHMFFDK66DA
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴山村10鄰鶴山301~330號,154.0,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,,透天厝,住家用,加強磚造,,94.6,4,2,3,有,無,6500000,68710,,0.0,0,,RPPNMLSJJHMFFBK38CA
苗栗市,房地(土地+建物),苗栗縣苗栗市勝利里21鄰復興路一段1~30號,101.0,住,,,1051201,土地1建物1車位0,全,,透天厝,住家用,鋼筋混凝土造,0791101,164.5,4,2,3,有,無,6800000,41337,,0.0,0,,RPRNMLQJJHMFFBK38CA
公館鄉,土地,福基段421~450地號,4990.0,,山坡地保育區,農牧用地,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1117100,224,,0.0,0,受債權債務影響或債務抵償之交易。,RPSNMLQJJHMFFBK48CA
獅潭鄉,土地,獅潭段和興小段271~300地號,27087.0,,山坡地保育區,林業用地,1051101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,591,,0.0,0,,RPPNMLNJKHMFFAK87CA
獅潭鄉,土地,獅潭段永興小段541~570地號,2530.0,,山坡地保育區,農牧用地,1051201,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1186,,0.0,0,,RPPNMLNKJHMFFAK87CA
獅潭鄉,土地,獅潭段永興小段511~540地號,3509.0,,山坡地保育區,林業用地,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,399,,0.0,0,,RPQNMLNKJHMFFAK97CA
大湖鄉,土地,水尾坪段781~810地號,1022.89,,山坡地保育區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,6355,,0.0,0,,RPWNMLTKJHMFFAK56CA
