鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
淡水區,建物,新北市淡水區民權路1~30號,0.0,工,,,1051207,土地0建物1車位0,八層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,65.94,2,1,2,有,有,有,18500,281,,0.0,0,租金含管理費。,RPUNNLPJJHMFFEF68CC
板橋區,房地(土地+建物),新北市板橋區文化路一段361~390號,4.19,住,,,1051211,土地1建物1車位0,二十七層,43,套房(1房1廳1衛),住家用,見其他登記事項,0990715,54.15,1,1,1,有,有,有,23000,425,,0.0,0,租金含管理費,RPVPMLPJJHMFFAF48CC
中和區,建物,新北市中和區永和路337巷1~30號,0.0,工,,,1051212,土地0建物1車位0,一層,5,廠辦,工業用,鋼筋混凝土造,0810417,203.86,0,0,0,無,無,無,60000,294,,0.0,0,,RPSOMLPJJHMFFHF98EC
中和區,房地(土地+建物)+車位,新北市中和區圓通路367巷33弄91~120號,254.79,其他,,,1051229,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980925,279.15,4,2,2,有,有,無,27000,97,坡道平面,32.61,0,,RPVOMLQJJHMFFHF56CC
永和區,車位,新北市永和區保生路24至31~60號,0.0,,,,1051127,土地0建物0車位1,,0,其他,停車空間,鋼筋混凝土造,0850322,40.35,0,0,0,有,有,無,3833,,坡道平面,40.35,3833,年租4.6萬(含清潔費)修改原序號:C1FH10512050003因租賃車位，土地無法分割計算坪數，故無法輸入【租賃標的清冊-土地】,RPQPMLQJJHMFFHF78CC
汐止區,房地(土地+建物),新北市汐止區保長路51巷1~30號,0.0,住,,,1060105,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741102,75.99,2,2,1,有,有,無,7000,92,,0.0,0,,RPSNMLQJJHMFFDF38CC
汐止區,房地(土地+建物),新北市汐止區保長路91~120號,12.43,住,,,1051225,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990525,49.82,2,1,1,有,有,有,14000,281,,0.0,0,,RPROMLQJJHMFFDF38CC
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段271~300號,16.82,住,,,1060104,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,174.44,2,1,1,有,有,無,19000,109,坡道平面,28.1,0,,RPSWMLQJJHMFFBF09CC
林口區,房地(土地+建物)+車位,新北市林口區仁愛二路1~30號,18.74,住,,,1051230,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961210,214.07999999999998,4,2,2,有,有,無,25000,117,坡道平面,18.92,0,,RPPNNLQJJHMFFBF97CC
汐止區,房地(土地+建物)+車位,新北市汐止區龍安路31~60號,0.0,商,,,1051231,土地1建物2車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0820119,199.02,4,2,2,有,有,有,23000,116,坡道機械,23.58,0,,RPPNMLRJJHMFFDF18CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段1~30號,14.4,住,,,1051231,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960302,74.91,2,1,1,有,有,有,14000,187,坡道平面,28.69,0,,RPPNMLRJJHMFFEF28CC
淡水區,建物,新北市淡水區民族路31~60號,22.02,其他,,,1060107,土地0建物1車位0,七層,23,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880111,183.63,3,2,2,有,有,有,21000,114,,0.0,0,,RPVUMLTJJHMFFEF17CC
永和區,建物,新北市永和區得和路361~390號,0.0,住,,,1051211,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0690910,89.46,0,0,0,無,無,無,40000,447,,0.0,0,,RPWNMLTJJHMFFHF86CC
土城區,建物,新北市土城區水源街61~90號,0.0,住,,,1051219,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,102.56,3,2,2,有,有,無,14000,137,,0.0,0,,RPQOMLTJJHMFFAF28CC
板橋區,房地(土地+建物),新北市板橋區莊敬路31~60號,52.34,商,,,1060105,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,242.42,0,0,0,無,無,無,50000,206,,0.0,0,,RPSOMLTJJHMFFAF48CC
新店區,建物,新北市新店區安忠路10巷1~30號,0.0,住,,,1060106,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701216,73.37,4,2,1,有,無,無,15000,204,,0.0,0,,RPSQMLTJJHMFFCF88CC
