鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,房地(土地+建物),桃園市龜山區德明路1~30號,10.07,住,,,1051101,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920730,30.990000000000002,1,1,1,有,有,1800000,58083,,0.0,0,,RPWNMLRLKILFFHH96CA
龜山區,土地,楓樹坑段楓樹坑小段601~630地號,1079.24,其他,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10770000,9979,,0.0,0,,RPVNMLTLKILFFHH07CA
龜山區,土地,垹坡段1111~1140地號,35.09,其他,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2780336,79234,,0.0,0,,RPWNMLTLKILFFHH17CA
龍潭區,車位,桃園市龍潭區百年二街15巷1~30號,0.6,,鄉村區,乙種建築用地,1051201,土地0建物0車位1,地下一層，地下二層,十四層,其他,見其他登記事項,鋼筋混凝土造,0860130,0.060000000000000005,0,0,0,有,有,625000,,坡道平面,0.0,625000,單獨車位交易。,RPVOMLQLJHMFFCH88CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區高原路372巷38弄1~30號,96.0,,山坡地保育區,丙種建築用地,1051001,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050309,193.14,3,3,4,有,無,13160000,68137,一樓平面,0.0,0,,RPQOMLSKJHMFFCH48CA
龜山區,房地(土地+建物),桃園市龜山區幸福二十一街1~30號,32.72,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760401,97.65,5,2,2,有,無,3850000,39427,,0.0,0,,RPXNMLTLKILFFHH27CA
龜山區,房地(土地+建物),桃園市龜山區茶專路218巷1~30號,51.97,,山坡地保育區,丙種建築用地,1051101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720218,70.82,0,0,0,無,無,2500000,35301,,0.0,0,,RPQNMLTLKILFFHH56CA
龜山區,房地(土地+建物),桃園市龜山區東萬壽路313巷1~30號,36.54,,山坡地保育區,丙種建築用地,1051201,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841020,90.21000000000001,3,1,2,有,無,3000000,33256,,0.0,0,,RPRNMLTLKILFFHH66CA
龜山區,土地,兔子坑段1801~1830地號,2551.19,,山坡地保育區,農牧用地,1050701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,2940,,0.0,0,,RPTNMLKMKILFFHH68CA
龜山區,房地(土地+建物),桃園市龜山區德明路1~30號,10.07,住,,,1051201,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920730,30.990000000000002,1,0,1,有,有,1820000,58729,,0.0,0,,RPWNMLNJJHMFFHH88CA
龜山區,房地(土地+建物),桃園市龜山區興華三街61~90號,13.04,住,,,1051201,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0931125,27.029999999999998,1,1,1,有,無,2680000,99149,,0.0,0,,RPSNMLMKJHMFFHH48CA
龜山區,房地(土地+建物),桃園市龜山區東萬壽路313巷31~60號,36.54,,山坡地保育區,丙種建築用地,1051101,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841020,90.25,3,2,2,有,無,3450000,38227,,0.0,0,,RPPNMLNKJHMFFHH28CA
龜山區,房地(土地+建物)+車位,桃園市龜山區公園路8巷1~30號,9.82,商,,,1051101,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851023,135.13,3,2,1,有,無,8000000,59202,坡道平面,0.0,0,,RPWNMLTKJHMFFHH96CA
龍潭區,土地,龍源段1351~1380地號,1485.28,農,,,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2695783,1815,,0.0,0,,RPWNMLSKJHMFFCH98CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區民有路241~270號,11.61,其他,,,1051201,土地1建物3車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0950410,1406.8500000000001,1,1,1,有,有,3500000,2488,坡道平面,30.86,0,親友、員工或其他特殊關係間之交易。,RPPOMLPJJHMFFCH97CA
大溪區,房地(土地+建物)+車位,桃園市大溪區民權東路185巷1~30號,18.36,住,,,1051201,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820920,129.69,3,2,2,有,有,3380000,26062,坡道平面,0.0,0,,RPUOMLSLKILFFCH09CA
龍潭區,房地(土地+建物),桃園市龍潭區渴望一路158巷45弄1~30號,203.99,,山坡地保育區,丙種建築用地,1050301,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050621,282.40999999999997,4,2,3,有,有,13500000,47801,,0.0,0,,RPPOMLKMKILFFCH87CA
中壢區,房地(土地+建物),桃園市中壢區新中二街1~30號,7.36,住,,,1051201,土地1建物1車位0,九層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0951011,33.92,1,1,1,有,有,2100000,61910,,0.0,0,,RPUNMLPKKHMFFBH48CA
