鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
秀水鄉,土地,秀水段421~450地號,7.6,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250800,33000,,0.0,0,向政府機關承購之案件。,RPPPMLQJJHMFFAN68DA
秀水鄉,土地,秀水段421~450地號,21.75,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,717750,33000,,0.0,0,向政府機關承購之案件。,RPQPMLQJJHMFFAN78DA
秀水鄉,土地,曾厝段1561~1590地號,58.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,220400,3800,,0.0,0,向政府機關承購之案件。,RPSNMLTJJHMFFAN09DA
花壇鄉,土地,明德段661~690地號,21.57,住,,,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,222217,10302,,0.0,0,,RPXOMLTJJHMFFAN07DA
彰化市,房地(土地+建物),彰化縣彰化市民生路421~450號,8.99,商,,,1051201,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800919,80.46,2,2,1,有,有,3000000,37286,,0.0,0,,RPSNMLKKJHMFFAN28DA
福興鄉,土地,外中段901~930地號,96.33,,鄉村區,乙種建築用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,12457,,0.0,0,,RPPNMLOJJHMFFCN48DA
福興鄉,土地,新生段1711~1740地號,341.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13900000,40762,,0.0,0,,RPWNMLOJJHMFFCN56DA
和美鎮,房地(土地+建物),彰化縣和美鎮忠信路31~60號,117.0,住,,,1051201,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1020524,296.18,4,2,5,有,無,11500000,38828,,0.0,0,,RPQNMLNJJHMFFBN38DA
大村鄉,土地,福興段931~960地號,13.3,,鄉村區,乙種建築用地,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,265620,19971,,0.0,0,,RPPNMLOJJHMFFDN58DA
大村鄉,土地,福興段931~960地號,17.86,,鄉村區,乙種建築用地,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,356488,19960,,0.0,0,,RPQNMLOJJHMFFDN68DA
