鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路501巷41弄31~60號,112.5,,特定農業區,甲種建築用地,1051201,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050822,208.21,5,3,5,有,無,8480000,40728,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLSKJHMFFBM66CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路1003巷13弄1~30號,69.07,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691230,87.29,3,2,2,有,無,1880000,21537,,0.0,0,,RPUNMLTKJHMFFBM66CA
草屯鎮,土地,新屋段1321~1350地號,93.51,住,,,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,24596,,0.0,0,,RPOOMLTKJHMFFBM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段43巷1~30號,125.07,住,,,1051201,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030902,209.86,4,3,5,有,無,12100000,57657,,0.0,0,,RPPNMLQJKHMFFBM48CA
草屯鎮,房地(土地+建物),南投縣草屯鎮民生三街48巷1~30號,14.48,住,,,1060101,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810130,61.7,1,1,1,有,有,1520000,24635,,0.0,0,,RPQNMLMJKHMFFBM18CA
國姓鄉,土地,墘溝段1411~1440地號,730.0,,山坡地保育區,丙種建築用地,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,8219,,0.0,0,權利人共2人,RPTNMLRKJHMFFCM09CA
埔里鎮,土地,忠良段841~870地號,4611.73,,特定農業區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10750000,2331,,0.0,0,,RPOOMLRKJHMFFCM68CA
埔里鎮,土地,忠良段631~660地號,43.33,其他,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,231,,0.0,0,親友、員工或其他特殊關係間之交易。瑕疵物件之交易。,RPPOMLRKJHMFFCM78CA
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉廣興村八德街120巷1~30號,91.67,住,,,1051201,土地3建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0860110,235.03,5,2,3,有,無,4960000,21104,坡道平面,0.0,0,,RPSNMLTKJHMFFDM66CA
竹山鎮,土地,竹圍子段�盪豸p段331~360地號,742.0,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15711800,21175,,0.0,0,,RPRNMLRKJHMFFDM98CA
竹山鎮,房地(土地+建物),南投縣竹山鎮集山路三段1148巷1~30號,79.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0721230,89.7,2,2,2,有,無,1200000,13378,,0.0,0,親友、員工或其他特殊關係間之交易。受債權債務影響或債務抵償之交易。,RPUNMLRKJHMFFDM66CA
竹山鎮,房地(土地+建物),南投縣竹山鎮瑞山巷121~150號,150.06,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950126,189.75,4,2,3,有,無,4800000,25296,,0.0,0,,RPWNMLRKJHMFFDM86CA
中寮鄉,土地,爽文段1171~1200地號,284.08,,鄉村區,乙種建築用地,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,13377,,0.0,0,,RPVNMLRKJHMFFAM56DA
竹山鎮,房地(土地+建物),南投縣竹山鎮裕農新村5巷1~30號,64.19,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0691227,93.32,4,3,2,有,無,2050000,21967,,0.0,0,,RPPNMLNKKHMFFDM48CA
竹山鎮,房地(土地+建物),南投縣竹山鎮育才巷1~30號,181.0,住,,,1051201,土地2建物2車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0880731,535.65,4,4,5,有,無,5200000,9708,,0.0,0,父子間之買賣。,RPTNMLQLJHMFFDM56CA
竹山鎮,房地(土地+建物),南投縣竹山鎮大同街91~120號,130.21,住,,,1051201,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051027,190.73,5,3,4,有,無,7800000,40896,,0.0,0,,RPUNMLMJKHMFFDM78CA
竹山鎮,房地(土地+建物),南投縣竹山鎮大同街91~120號,90.09,住,,,1051201,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051027,181.54,5,3,4,有,無,7100000,39110,,0.0,0,,RPVNMLMJKHMFFDM88CA
竹山鎮,房地(土地+建物),南投縣竹山鎮頂林新村91~120號,85.31,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660729,116.86,3,1,2,有,無,1300000,11124,,0.0,0,,RPPNMLNJKHMFFDM38CA
名間鄉,房地(土地+建物),南投縣名間鄉山腳巷1~30號,77.47,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0870609,150.57,4,1,2,有,無,3200000,21253,,0.0,0,親友間之交易。,RPUNMLNKKHMFFAM78DA
草屯鎮,土地,保安段541~570地號,238.39,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,18038,,0.0,0,,RPPNMLSKJHMFFBM78DA
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段245巷1~30號,94.02,住,,,1051201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880605,191.9,4,2,3,有,無,9000000,46899,,0.0,0,,RPUNMLSKJHMFFBM66DA
信義鄉,土地,雙龍段601~630地號,1790.0,,森林區,林業用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,230000,128,,0.0,0,,RPWNMLSKJHMFFEM17DA
竹山鎮,土地,大坑段大坑小段1~30地號,1824.0,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1096,,0.0,0,,RPTNMLTKJHMFFDM86DA
草屯鎮,房地(土地+建物),南投縣草屯鎮民生一街28巷1~30號,161.0,住,,,1051201,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1030812,296.31,4,3,4,有,無,19500000,65809,,0.0,0,,RPUNMLRKJHMFFBM56DA
南投市,房地(土地+建物),南投縣南投市同源路五街1~30號,73.0,,工業區,丁種建築用地,1050701,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820113,133.53,4,2,3,有,無,4200000,31454,,0.0,0,,RPXNMLTKJHMFFAM96DA
集集鎮,土地,柴橋頭段洞角小段1~30地號,181.0,,山坡地保育區,特定目的事業用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,442,,0.0,0,向政府機關承購之案件。,RPPNMLQJKHMFFEM88DA
埔里鎮,房地(土地+建物),南投縣埔里鎮環澤街1~30號,100.38,住,,,1051201,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1020419,208.67,6,2,3,有,無,12500000,59903,,0.0,0,,RPRNMLSKJHMFFCM98CA
埔里鎮,房地(土地+建物),南投縣埔里鎮四維路31~60號,122.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0640207,186.35,4,2,3,有,無,6000000,32197,,0.0,0,,RPWNMLRKJHMFFCM76CA
仁愛鄉,土地,春陽段1051~1080地號,90.0,,山坡地保育區,丙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,31111,,0.0,0,含未保存建物一戶,RPXNMLRKJHMFFCM86CA
名間鄉,土地,田寮段1051~1080地號,1385.09,,鄉村區,乙種建築用地,1051201,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19800000,14295,,0.0,0,,RPUNMLSJKHMFFAM09CA
埔里鎮,土地,光榮段901~930地號,65.71,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,25871,,0.0,0,,RPOOMLSKJHMFFCM78CA
埔里鎮,土地,四角城段1~30地號,1508.31,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14600000,9680,,0.0,0,,RPQNMLTKJHMFFCM98CA
埔里鎮,土地,紅瓦厝段481~510地號,570.22,,特定農業區,農牧用地,1051201,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,1578,,0.0,0,本交易包括一筆農地(持分1/3)及一筆持分為全部之建地，及三筆當私設通路之持分共有之建地,RPPNMLLLJHMFFCM18CA
國姓鄉,房地(土地+建物),南投縣國姓鄉東一巷61~90號,10090.0,,山坡地保育區,農牧用地,1051201,土地1建物1車位0,一層,一層,農舍,農舍,鋼筋混凝土造,0890501,99.9,2,1,1,有,無,5200000,,,0.0,0,,RPRNMLPLJHMFFCM78CA
埔里鎮,建物,南投縣埔里鎮梅林六街31~60號,0.0,,,,1051201,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050831,317.06,4,2,3,有,無,7400000,23339,,0.0,0,建商與地主合建案。,RPVOMLMJKHMFFCM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧洲里4鄰碧峰路842巷1~30號,111.94,,鄉村區,乙種建築用地,1050601,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051102,204.99,5,3,3,有,無,8700000,42441,,0.0,0,,RPXNMLRJKHMFFBM76CA
