鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
大園區,土地,東園段241~270地號,5913.26,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,268311,45,,0.0,0,,RPPOMLOJJHMFFEH38DC
桃園區,房地(土地+建物),桃園市桃園區上海路211~240號,28.2,住,,,1051201,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911223,106.69,3,2,2,有,無,有,11500,108,,0.0,0,,RPSNMLOJJHMFFAH18DC
桃園區,房地(土地+建物)+車位,桃園市桃園區國際一路151~180號,10.72,住,,,1051201,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020102,87.05,3,2,2,有,有,有,16000,184,坡道平面,73.73,0,,RPSNMLPJJHMFFAH28DC
中壢區,建物,桃園市中壢區新興路91~120號,0.0,商,,,1051201,土地0建物1車位0,見其他登記事項,4,店面(店鋪),商業用,鋼筋混凝土造,0661108,492.3,0,0,0,無,無,無,55000,112,,0.0,0,,RPTOMLPJJHMFFBH48CC
中壢區,建物,桃園市中壢區環西路二段61~90號,0.0,住,,,1051201,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0690417,18.8,2,2,2,有,有,有,7500,399,,0.0,0,,RPUOMLPJJHMFFBH58CC
平鎮區,建物,桃園市平鎮區延平路三段104巷181~210號,0.0,住,,,1051201,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030827,71.05,2,2,1,有,有,有,12000,169,,0.0,0,,RPTNMLPJJHMFFGH98DC
中壢區,建物,桃園市中壢區復興路31~60號,27.12,住,,,1051201,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0870805,67.75,0,0,0,無,無,無,50000,738,,0.0,0,,RPUPMLQJJHMFFBH88DC
中壢區,建物,桃園市中壢區復興路31~60號,27.12,住,,,1051201,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0870805,195.91,0,0,0,無,無,無,80000,408,,0.0,0,,RPVPMLQJJHMFFBH98DC
中壢區,房地(土地+建物),桃園市中壢區正光二街61~90號,23.76,住,,,1060101,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020525,97.06,2,2,1,有,有,有,12000,124,,0.0,0,,RPTPMLQJJHMFFBH68CC
楊梅區,建物,桃園市楊梅區青山六街1巷1~30號,0.0,住,,,1051201,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,120.0,3,2,2,有,無,無,9000,75,,0.0,0,,RPPNMLRJJHMFFDH38CC
中壢區,建物,桃園市中壢區龍川街1~30號,0.0,住,,,1051201,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950426,26.88,2,2,2,有,無,有,4500,167,,0.0,0,,RPXOMLTJJHMFFBH66CC
中壢區,建物,桃園市中壢區莊敬路829巷61~90號,0.0,住,,,1051201,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,88.13,3,2,2,有,有,無,11000,125,,0.0,0,,RPXPMLTJJHMFFBH76CC
八德區,房地(土地+建物),桃園市八德區豐田一路61~90號,17.24,住,,,1060101,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041012,127.32,2,2,1,有,有,有,15000,118,,0.0,0,,RPUOMLTJJHMFFFH86DC
八德區,房地(土地+建物)+車位,桃園市八德區金和路61~90號,14.93,住,,,1051101,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,121.85,2,2,2,有,有,有,15000,123,坡道平面,27.93,0,,RPRPMLKKJHMFFFH48DC
八德區,房地(土地+建物),桃園市八德區廣福路451~480號,86.07,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940802,236.28,4,3,4,有,無,有,30000,127,,0.0,0,,RPRQMLKKJHMFFFH58DC
八德區,房地(土地+建物)+車位,桃園市八德區大和路61~90號,15.43,住,,,1051201,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,128.58,3,2,2,有,有,有,15000,117,坡道平面,31.42,0,,RPWQMLKKJHMFFFH09DC
八德區,房地(土地+建物),桃園市八德區介壽路一段645巷31~60號,19.19,住,,,1051201,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690924,92.01,2,2,1,有,無,有,8000,87,,0.0,0,,RPXQMLKKJHMFFFH56DC
八德區,房地(土地+建物),桃園市八德區東勇街125巷1~30號,27.43,住,,,1051201,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970919,154.35000000000002,3,2,2,有,有,有,16000,104,,0.0,0,,RPORMLKKJHMFFFH38DC
八德區,房地(土地+建物),桃園市八德區忠勇街211~240號,28.43,住,,,1051201,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870704,181.13,3,2,2,有,有,有,13000,72,,0.0,0,,RPPRMLKKJHMFFFH48DC
中壢區,建物,桃園市中壢區惠州街61~90號,0.0,住,,,1051201,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0750718,21.2,2,0,2,有,無,無,8000,377,,0.0,0,,RPPQMLKKJHMFFBH87CC
中壢區,建物,桃園市中壢區幸福街1~30號,0.0,住,,,1051201,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0800509,252.63,6,2,4,有,有,無,28000,111,,0.0,0,,RPQQMLKKJHMFFBH97CC
中壢區,建物,桃園市中壢區內江街1~30號,0.0,住,,,1051201,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831212,91.5,3,2,2,有,有,無,11000,120,,0.0,0,,RPXQMLKKJHMFFBH68CC
桃園區,建物,桃園市桃園區中正路1081~1110號,0.0,住,,,1051201,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930727,105.91000000000001,3,2,2,有,有,有,22000,208,坡道平面,0.0,0,,RPTOMLKKJHMFFAH97CC
蘆竹區,建物,桃園市蘆竹區中興六街1~30號,0.0,,,,1060101,土地0建物1車位0,一層,11,店面(店鋪),見其他登記事項,鋼筋混凝土造,1030402,72.93,0,0,0,無,無,有,23000,315,,0.0,0,,RPTNMLKKJHMFFEH28CC
桃園區,房地(土地+建物)+車位,桃園市桃園區桃智路1~30號,16.84,住,,,1051201,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011019,183.35000000000002,4,2,2,有,有,有,20000,109,坡道平面,36.89,0,,RPOPMLKKJHMFFAH67DC
