104/02/24,10.9,3.5,1.47
104/02/25,10.97,3.48,1.48
104/02/26,11.07,3.44,1.5
104/03/04,11.22,3.4,1.52
104/03/05,11.25,3.39,1.52
104/03/06,11.28,3.38,1.53
104/03/09,11.16,3.42,1.51
104/03/10,11.07,3.44,1.5
104/03/11,11.09,3.44,1.5
104/03/12,11.07,3.44,1.5
104/03/13,11.18,3.41,1.51
104/03/16,11.09,3.44,1.5
104/03/17,11.09,3.44,1.5
104/03/18,11.17,3.41,1.51
104/03/19,11.58,3.29,1.57
104/03/20,11.82,3.23,1.6
104/03/23,11.88,3.21,1.61
104/03/24,11.86,3.22,1.6
104/03/25,11.99,3.18,1.62
104/03/26,11.99,3.18,1.62
104/03/27,11.82,3.23,1.6
104/03/30,11.94,3.19,1.61
104/03/31,11.64,3.28,1.46
104/04/07,10.6,3.21,1.49
104/04/08,10.61,3.2,1.49
104/04/09,10.53,3.23,1.48
104/04/10,10.54,3.22,1.48
104/04/13,10.52,3.23,1.48
104/04/14,10.62,3.2,1.49
104/04/15,10.43,3.26,1.46
104/04/16,10.57,3.22,1.48
104/04/17,10.45,3.25,1.47
104/04/20,10.51,3.23,1.48
104/04/21,10.43,3.26,1.46
104/04/22,10.42,3.26,1.46
104/04/23,10.57,3.22,1.48
104/04/24,10.71,3.17,1.5
104/04/27,10.72,3.17,1.51
104/04/28,10.6,3.21,1.49
104/04/29,10.43,3.26,1.46
104/04/30,10.42,3.26,1.46
104/05/06,10.53,3.23,1.48
104/05/07,10.43,3.26,1.46
104/05/08,10.5,3.24,1.47
104/05/11,10.55,3.22,1.48
104/05/12,10.5,3.24,1.47
104/05/13,10.7,3.17,1.5
104/05/14,10.61,3.2,1.49
104/05/15,10.54,3.22,1.46
104/05/18,10.13,3.1,1.51
104/05/19,10.29,3.05,1.54
104/05/20,10.2,4.41,1.52
104/05/21,10.15,4.43,1.52
104/05/22,10.09,4.46,1.51
104/05/25,10.14,4.44,1.52
104/05/26,10.19,4.41,1.52
104/05/27,10.19,4.41,1.52
104/05/28,10.28,4.37,1.54
104/05/29,10.37,4.34,1.55
104/06/03,10.15,4.43,1.52
104/06/04,9.88,4.55,1.48
104/06/05,9.86,4.56,1.47
104/06/08,9.93,4.53,1.48
104/06/09,9.75,4.61,1.46
104/06/10,10.0,4.5,1.49
104/06/11,10.02,4.49,1.5
104/06/12,9.94,4.53,1.49
104/06/15,9.83,4.57,1.47
104/06/16,9.92,4.54,1.48
104/06/17,9.87,4.56,1.48
104/06/18,9.9,4.55,1.48
104/06/22,10.17,4.42,1.52
104/06/23,10.16,4.43,1.52
104/06/24,10.21,4.41,1.53
104/06/25,10.36,4.34,1.55
104/06/26,10.38,4.33,1.55
104/06/29,10.14,4.44,1.52
104/06/30,10.15,4.43,1.52
104/07/03,10.18,4.42,1.52
104/07/06,10.07,4.47,1.51
104/07/07,10.18,4.42,1.52
104/07/08,9.88,4.55,1.48
104/07/09,9.77,4.6,1.46
104/07/13,10.06,4.47,1.5
104/07/14,9.91,4.54,1.48
104/07/15,10.01,4.49,1.5
104/07/16,10.04,4.48,1.5
104/07/17,9.95,4.52,1.49
104/07/20,9.95,4.52,1.49
104/07/21,10.07,4.47,1.51
104/07/22,9.92,4.54,1.48
104/07/23,9.47,4.75,1.41
104/07/24,9.47,4.75,1.41
104/07/27,9.42,4.77,1.41
104/07/28,9.41,4.78,1.41
104/07/29,9.57,4.7,1.43
104/07/30,9.51,4.73,1.42
104/07/31,9.49,4.74,1.42
104/08/05,9.31,4.83,1.39
104/08/06,9.26,4.86,1.38
104/08/07,9.26,4.86,1.38
104/08/10,9.26,4.86,1.38
104/08/11,9.26,4.86,1.38
104/08/12,9.05,4.97,1.35
104/08/13,9.14,4.92,1.37
104/08/14,9.28,4.85,1.46
104/08/17,9.09,4.88,1.46
104/08/18,9.1,4.87,1.46
104/08/19,9.08,4.88,1.45
104/08/20,9.01,4.92,1.44
104/08/21,8.81,5.03,1.41
104/08/24,8.41,5.27,1.35
104/08/25,8.76,5.06,1.4
104/08/26,8.61,5.15,1.38
104/08/27,8.72,5.08,1.4
104/08/28,9.13,4.85,1.46
104/08/31,9.54,4.65,1.53
104/09/03,8.65,5.13,1.38
104/09/04,8.56,5.18,1.37
104/09/07,8.55,5.19,1.37
104/09/08,8.54,5.19,1.37
104/09/09,8.81,5.03,1.41
104/09/10,8.72,5.08,1.4
104/09/11,8.73,5.08,1.4
104/09/14,8.77,5.05,1.4
104/09/15,8.73,5.08,1.4
104/09/16,8.76,5.06,1.4
104/09/17,8.81,5.03,1.41
104/09/18,8.81,5.03,1.41
104/09/21,8.68,5.11,1.39
104/09/22,8.77,5.05,1.4
104/09/23,8.67,5.11,1.39
104/09/24,8.62,5.14,1.38
104/09/25,8.69,5.1,1.39
104/09/30,8.82,5.02,1.41
104/10/05,8.87,5.0,1.42
104/10/06,8.91,4.98,1.43
104/10/07,8.96,4.95,1.43
104/10/08,8.94,4.96,1.43
104/10/12,9.08,4.88,1.45
104/10/13,9.02,4.91,1.44
104/10/14,8.88,4.99,1.42
104/10/15,8.94,4.96,1.43
104/10/16,9.05,4.9,1.45
104/10/19,9.04,4.9,1.45
104/10/20,8.98,4.94,1.44
104/10/21,8.91,4.98,1.43
104/10/22,8.93,4.97,1.43
104/10/23,9.01,4.92,1.44
104/10/26,9.14,4.85,1.46
104/10/27,9.13,4.85,1.46
104/10/28,9.07,4.89,1.45
104/10/29,8.95,4.95,1.43
104/10/30,8.93,4.97,1.43
104/11/04,9.14,4.85,1.46
104/11/05,9.09,4.88,1.46
104/11/06,8.93,4.97,1.43
104/11/09,8.87,5.0,1.42
104/11/10,8.71,5.09,1.39
104/11/11,8.6,5.16,1.38
104/11/12,8.65,5.13,1.38
104/11/13,8.62,5.14,1.38
104/11/16,8.79,5.19,1.36
104/11/17,9.02,5.06,1.4
104/11/18,9.0,5.07,1.4
104/11/19,9.08,5.03,1.41
104/11/20,9.13,5.0,1.42
104/11/23,9.08,5.03,1.41
104/11/24,8.95,5.1,1.39
104/11/25,8.95,5.1,1.39
104/11/26,9.07,5.04,1.41
104/11/27,9.02,5.06,1.4
104/11/30,8.92,5.12,1.38
104/12/03,8.99,5.08,1.4
104/12/04,8.94,5.11,1.39
104/12/07,8.99,5.08,1.4
104/12/08,8.91,5.13,1.38
104/12/09,8.84,5.16,1.37
104/12/10,8.8,5.19,1.37
104/12/11,8.82,5.17,1.37
104/12/14,8.58,5.32,1.33
104/12/15,8.49,5.38,1.32
104/12/16,8.51,5.36,1.32
104/12/17,8.75,5.22,1.36
104/12/18,8.62,5.3,1.34
104/12/21,8.64,5.28,1.34
104/12/22,8.57,5.33,1.33
104/12/23,8.63,5.29,1.34
104/12/24,8.66,5.27,1.34
104/12/25,8.66,5.27,1.34
104/12/28,8.6,5.31,1.33
104/12/29,8.57,5.33,1.33
104/12/30,8.59,5.32,1.33
104/12/31,8.58,5.32,1.33
